cex;nama_token;ticker;sc;decimals
BITGET;RCADE;RCADE;0x077574441c4f8763a37a2cfee2ecb444aa60a15e;18
MEXC;RCADE;RCADE;0x077574441C4F8763a37a2cFeE2ECb444aA60A15e;18
GATE;RCADE Network;RCADE;0x077574441c4f8763a37a2cfee2ecb444aa60a15e;18
KUCOIN;RCADE;RCADE;0x077574441c4f8763a37a2cfee2ecb444aa60a15e;18
BINANCE;Synapse;SYN;0x080f6aed32fc474dd5717105dba5ea57268f46eb;18
MEXC;AIDOGE;AIDOGE;0x09E18590E8f76b6Cf471b3cd75fE1A1a9D2B2c2b;6
GATE;ArbDoge AI;AIDOGE;0x09E18590E8f76b6Cf471b3cd75fE1A1a9D2B2c2b;6
BITGET;AIDOGE;AIDOGE;0x09e18590e8f76b6cf471b3cd75fe1a1a9d2b2c2b;6
MEXC;Merlin Token;MRLN;0x0B3547CD0E14e7D42f8921b0c370FdFD708bff6C;18
GATE;Opulous;OPUL;0x0c5fa0E07949F941A6c2C29a008252db1527d6EE;18
BINANCE;Pendle;PENDLE;0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8;18
BITGET;PENDLE;PENDLE;0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8;18
KUCOIN;PENDLE;PENDLE;0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8;18
MEXC;Zeeverse;VEE;0x0CAAdd427A6Feb5B5Fc1137eB05aA7Ddd9c08ce9;18
MEXC;AEGIS token;AEGIS;0x0eC739BdB1F6f021FeB624218A9665D44c9D87a2;18
BINANCE;Dolomite;DOLO;0x0f81001ef0a83ecce5ccebf63eb302c70a39a654;18
KUCOIN;TRN;TRN;0x1114982539a2bfb84e8b9e4e320bbc04532a9e44;18
MEXC;YieldBricks;YBR;0x11920f139a3121c2836E01551D43F95B3c31159c;18
BINANCE;Curve;CRV;0x11cdb42b0eb46d95f990bedd4695a6e3fa034978;18
BYBIT;LAVA;LAVA;0x11e969e9B3f89cB16D686a03Cd8508C9fC0361AF;6
GATE;Lava Network;LAVA;0x11e969e9b3f89cb16d686a03cd8508c9fc0361af;6
MEXC;Lava Network;LAVA;0x11e969e9B3f89cB16D686a03Cd8508C9fC0361AF;6
KUCOIN;LAVA;LAVA;0x11e969e9b3f89cb16d686a03cd8508c9fc0361af;6
INDODAX;SQD;SQD;0x1337420ded5adb9980cfc35f8f2b054ea86f8ab1;18
KUCOIN;SQD;SQD;0x1337420ded5adb9980cfc35f8f2b054ea86f8ab1;18
BYBIT;SQD;SQD;0x1337420dED5ADb9980CFc35f8f2B054ea86f8aB1;18
MEXC;Subsquid;SQD;0x1337420dED5ADb9980CFc35f8f2B054ea86f8aB1;18
GATE;Subsquid;SQD;0x1337420dED5ADb9980CFc35f8f2B054ea86f8aB1;18
KUCOIN;GNS;GNS;0x18c11fd286c5ec11c3b683caa813b77f5163a122;18
MEXC;Gains Network;GNS;0x18c11FD286C5EC11c3b683Caa813B77f5163A122;18
BINANCE;Gains Network;GNS;0x18c11fd286c5ec11c3b683caa813b77f5163a122;18
