cex;nama_token;ticker;sc;decimals
BINANCE;Axelar;AXL;0x23ee2343b892b1bb63503a4fabc840e0e2c6810f;6
BINANCE;USDC;USDC;0x833589fcd6edb6e08f4c7c32d4f71b54bda02913;6
BINANCE;aixbt by Virtuals;AIXBT;0x4f9fd6be4a90f2620860d680c0d4d5fb53d1a825;18
BINANCE;Kaito;KAITO;0x98d0baa52b2d063e780de12f615f963fe8537553;18
BINANCE;LayerZero;ZRO;0x6985884c4392d348587b19cb9eaaf157f13271cd;18
BINANCE;Horizen;ZEN;0xf43eb8de897fbc7f2502483b2bef7bb9ea179229;18
BINANCE;GoPlus Security;GPS;0x0c1dc73159e30c4b06170f2593d3118968a0dca5;18
BINANCE;Towns Protocol;TOWNS;0x00000000a22c618fd6b4d7e9a335c4b96b189a38;18
BINANCE;Radiant Capital;RDNT;0xd722e55c1d9d9fa0021a5215cbb904b92b3dc5d4;18
BINANCE;Defi App;HOME;0x4bfaa776991e85e5f8b1255461cbbd216cfc714f;18
BINANCE;Maverick Protocol;MAV;0x64b88c73a5dfa78d1713fe1b4c69a22d7e0faaa7;18
BINANCE;Sign;SIGN;0x868fced65edbf0056c4163515dd840e9f287a4c3;18
BINANCE;Space and Time;SXT;0xa2c22252cdc8b7cddee1b0b2e242818509fcf7b8;18
BINANCE;AWE Network;AWE;0x1b4617734c43f6159f3a70b7e06d883647512778;18
BINANCE;Particle Network;PARTI;0x59264f02d301281f3393e1385c0aefd446eb0f00;18
BINANCE;Bio Protocol;BIO;0x226a2fa2556c48245e57cd1cba4c6c9e67077dd2;18
BINANCE;Chainbase;C;0xba12bc7b210e61e5d3110b997a63ea216e0e18f7;18
BINANCE;Hyperlane;HYPER;0xc9d23ed2adb0f551369946bd377f8644ce1ca5c4;18
BINANCE;Maple Finance;SYRUP;0x688aee022aa544f150678b8e5720b6b96a9e9a2f;18
BINANCE;Mira;MIRA;0x7aafd31a321d3627b30a8e2171264b56852187fe;18
BINANCE;Somnia;SOMI;0x47636b3188774a3e7273d85a537b9ba4ee7b2535;18
BINANCE;Virtuals Protocol;VIRTUAL;0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b;18
BINANCE;Avantis;AVNT;0x696f9436b67233384889472cd7cd58a6fb5df4f1;18
BITGET;USDC;USDC;0x833589fcd6edb6e08f4c7c32d4f71b54bda02913;6
BITGET;BRETT;BRETT;0x532f27101965dd16442e59d40670faf5ebb142e4;18
BITGET;PARTI;PARTI;0x59264f02d301281f3393e1385c0aefd446eb0f00;18
BITGET;ZEN;ZEN;0xf43eb8de897fbc7f2502483b2bef7bb9ea179229;18
BITGET;UNITE;UNITE;0xa6c6ea2e0140849be02a3a34780cf61b766916c5;18
BITGET;MOEW;MOEW;0x15ac90165f8b45a80534228bdcb124a011f62fee;18
BITGET;TOSHI;TOSHI;0xac1bd2486aaf3b5c0fc3fd868558b082a531b2b4;18
BITGET;DEGEN;DEGEN;0x4ed4e862860bed51a9570b96d89af5e1b0efefed;18
BITGET;RDAC;RDAC;0xd3f68c6e8aee820569d58adf8d85d94489315192;18
BITGET;MCADE;MCADE;0xc48823ec67720a04a9dfd8c7d109b2c3d6622094;18
BITGET;GPS;GPS;0x0c1dc73159e30c4b06170f2593d3118968a0dca5;18
BITGET;F;F;0x2c24497d4086490e7ead87cc12597fb50c2e6ed6;18
BITGET;TOWNS;TOWNS;0x00000000a22c618fd6b4d7e9a335c4b96b189a38;18
BITGET;HOME;HOME;0x4bfaa776991e85e5f8b1255461cbbd216cfc714f;18
BITGET;SPON;SPON;0x080d43c2164afdbc3712422ce78ab902ccab5ca1;18
BITGET;ZORA;ZORA;0x1111111111166b7fe7bd91427724b487980afc69;18
BITGET;SIGN;SIGN;0x868fced65edbf0056c4163515dd840e9f287a4c3;18
BITGET;AIXBT;AIXBT;0x4f9fd6be4a90f2620860d680c0d4d5fb53d1a825;18
BITGET;AWE;AWE;0x1b4617734c43f6159f3a70b7e06d883647512778;18
BITGET;COOKIE;COOKIE;0xc0041ef357b183448b235a8ea73ce4e4ec8c265f;18
BITGET;MAVIA;MAVIA;0x24fcfc492c1393274b6bcd568ac9e225bec93584;18
BITGET;VFY;VFY;0xa749de6c28262b7ffbc5de27dc845dd7ecd2b358;18
BITGET;SAPIEN;SAPIEN;0xc729777d0470f30612b1564fd96e8dd26f5814e3;18
BITGET;C;C;0xba12bc7b210e61e5d3110b997a63ea216e0e18f7;18
BITGET;ICNT;ICNT;0xe0cd4cacddcbf4f36e845407ce53e87717b6601d;18
BITGET;CARV;CARV;0xc08cd26474722ce93f4d0c34d16201461c10aa8c;18
BITGET;FLOCK;FLOCK;0x5ab3d4c385b400f3abb49e80de2faf6a88a7b691;18
BITGET;MIRA;MIRA;0x7aafd31a321d3627b30a8e2171264b56852187fe;18
BITGET;VIRTUAL;VIRTUAL;0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b;18
BITGET;AVNT;AVNT;0x696f9436b67233384889472cd7cd58a6fb5df4f1;18
BITGET;AERO;AERO;0x940181a94a35a4569e4529a3cdfb74e38fd98631;18
BITGET;KAITO;KAITO;0x98d0baa52b2d063e780de12f615f963fe8537553;18
BITGET;MORPHO;MORPHO;0xbaa5cc21fd487b8fcc2f632f3f4e8d37262a0842;18
BITGET;CLANKER;CLANKER;0x1bc0c42215582d5a085795f4badbac3ff36d1bcb;18
