cex;nama_token;ticker;sc;decimals
BINANCE;Towns Protocol;TOWNS;0x00000000bca93b25a6694ca3d2109d545988b13b;18
MEXC;TOWNS;TOWNS;0x00000000bcA93b25a6694ca3d2109d545988b13B;18
MEXC;Scotty Beam;SCOTTY;0x000351d035d8bbf2aa3131ebfecd66fb21836f6c;18
MEXC;Aster;ASTER;0x000Ae314E2A2172a039B26378814C252734f556A;18
GATE;Aster;ASTER;0x000ae314e2a2172a039b26378814c252734f556a;18
KUCOIN;ASTER;ASTER;0x000ae314e2a2172a039b26378814c252734f556a;18
MEXC;ERA;ERA;0x00312400303d02c323295f6E8b7309bc30FB6BcE;18
BINANCE;Caldera;ERA;0x00312400303d02c323295f6e8b7309bc30fb6bce;18
KUCOIN;GTAI;GTAI;0x003d87d02a2a01e9e8a20f507c83e15dd83a33d1;18
GATE;GT-Protocol;GTAI;0x003d87d02A2A01E9E8a20f507C83E15DD83A33d1;18
MEXC;GT Protocol;GTAI;0x003d87d02A2A01E9E8a20f507C83E15DD83A33d1;18
BINANCE;Phala.Network;PHA;0x0112e557d400474717056c4e6d40edd846f38351;18
MEXC;ARAI;AA;0x01bf3D77cd08b19Bf3F2309972123a2cCa0F6936;18
GATE;ARAI;AA;0x01bf3d77cd08b19bf3f2309972123a2cca0f6936;18
GATE;Engines of Fury Token;FURY;0x0203d275d2a65030889af45ed91d472be3948b92;18
MEXC;Engines of Fury;FURY;0x0203D275D2A65030889aF45ed91D472be3948B92;18
KUCOIN;FURY;FURY;0x0203d275d2a65030889af45ed91d472be3948b92;18
BINANCE;Secret;SCRT;0x02dd18e4981da3fc7363fe56f3b81d1860b44ea7;18
BINANCE;Artificial Superintelligence Alliance;FET;0x031b41e504677879370e9dbcf937283a8691fa7f;18
MEXC;TRAVA.FINANCE;TRAVA;0x0391be54e72f7e001f6bbc331777710b4f2999ef;18
GATE;MoveZ;MOVEZ;0x039cD22cb49084142d55FCD4B6096A4F51ffb3B4;18
MEXC;NetMind;NMT;0x03AA6298F1370642642415EDC0db8b957783e8D6;18
BITGET;NMT;NMT;0x03aa6298f1370642642415edc0db8b957783e8d6;18
GATE;NetMind Token;NETMIND;0x03aa6298f1370642642415edc0db8b957783e8d6;18
MEXC;Donablock;DOBO;0x04088B85AB27F247c76e3ADbF787f5a51E3470B6;18
BITGET;PHB;PHB;0x0409633a72d846fc5bbe2f98d88564d35987904d;18
BINANCE;Phoenix;PHB;0x0409633a72d846fc5bbe2f98d88564d35987904d;18
MEXC;Phoenix Global;PHB;0x0409633A72D846fc5BBe2f98D88564D35987904D;18
GATE;Phoenix;PHB;0x0409633a72d846fc5bbe2f98d88564d35987904d;18
BINANCE;Hedera Hashgraph;HBAR;0x0422f966bf8e978075a97d47ef4c7efd3563fa51;18
MEXC;TonCapy;TCAPY;0x045C2767A6CAE0a4551f40E4e8d250af94FE056B;18
MEXC;CFX-BSC;CFX;0x045c4324039dA91c52C55DF5D785385Aab073DcF;18
INDODAX;Conflux;CFX;0x045c4324039da91c52c55df5d785385aab073dcf;18
BINANCE;Conflux Network;CFX;0x045c4324039da91c52c55df5d785385aab073dcf;18
GATE;Conflux;CFX;0x045c4324039da91c52c55df5d785385aab073dcf;18
GATE;Carbon;CSIX;0x04756126F044634C9a0f0E985e60c88a51ACC206;18
MEXC;Carbon Browser;CSIX;0x04756126F044634C9a0f0E985e60c88a51ACC206;18
KUCOIN;CSIX;CSIX;0x04756126f044634c9a0f0e985e60c88a51acc206;18
MEXC;Tales X;X;0x0510101Ec6c49D24ED911F0011E22A0D697Ee776;18
GATE;VELA AI;VELAAI;0x053708a5bc7f1627ddc87e780ee381cf1e31f765;18
BINANCE;IRISnet;IRIS;0x05c50a62b0b87be1ffb1cf3b77d9edba834ef6f7;18
MEXC;Echo;ECHO;0x06238c1b8e618AbeDf17669228dc95fB2D2e210b;8
GATE;OrangeDX;O4DX;0x062ca2d2F1aF8C203FA3Ad5298FD6fAa4E44E897;18
KUCOIN;SCPT;SCPT;0x0669538fcdef9a73cd37938eba8c79e652bb93aa;18
MEXC;Script Network;SCPT;0x0669538FcdeF9A73CD37938eBa8c79E652BB93AA;18
MEXC;5thScape;5SCAPE;0x0688977ae5b10075f46519063Fd2f03aDC052C1f;6
GATE;Animal Concerts;ANML;0x06FDA0758c17416726f77Cb11305EAC94C074Ec0;18
BINANCE;Smooth Love Potion;SLP;0x070a08beef8d36734dd67a491202ff35a6a16d97;18
MEXC;Smooth Love Potion;SLP;0x070a08beef8d36734dd67a491202ff35a6a16d97;18
MEXC;SIX;SIX;0x070a9867Ea49CE7AFc4505817204860e823489fE;18
GATE;Pomerium;PMG;0x0733618ab62eeec815f2d1739b7a50bf9e74d8a2;18
GATE;Best Patent;BPT;0x07cce0b93cde5e14a00e680fb39c189c7a2b7d93;18
GATE;ritestream;RITE;0x0808bf94d57c905f1236212654268ef82e1e594e;18
MEXC;ritestream;RITE;0x0808Bf94d57C905F1236212654268EF82E1e594E;18
BINANCE;IDEX;IDEX;0x0856978f7ffff0a2471b4520e3521c4b3343e36f;18
BINANCE;Streamr;DATA;0x0864c156b3c5f69824564dec60c629ae6401bf2a;18
MEXC;SOONS Protocol;SOONS;0x088Cd7B270261f0e5A00A54C8c356a5d172F6139;18
GATE;Binamon;BMON;0x08ba0619b1e7a582e0bce5bbe9843322c954c340;18
MEXC;Quidax Token;QDX;0x08BC237aA00F275b758542c9F5c125b568bc390A;18
INDODAX;CLV;CLV;0x09E889BB4D5b474f561db0491C38702F367A4e4d;18
GATE;CLV;CLV;0x09E889BB4D5b474f561db0491C38702F367A4e4d;18
MEXC;Clover;CLV;0x09E889BB4D5b474f561db0491C38702F367A4e4d;18
BINANCE;Clover Finance;CLV;0x09e889bb4d5b474f561db0491c38702f367a4e4d;18
MEXC;4;4;0x0A43fC31a73013089DF59194872Ecae4cAe14444;18
MEXC;Sidekick;K;0x0A73d885CdD66adF69c6D64c0609e55C527dB2BE;18
KUCOIN;K;K;0x0a73d885cdd66adf69c6d64c0609e55c527db2be;18
BITGET;COAI;COAI;0x0a8d6c86e1bce73fe4d0bd531e1a567306836ea5;18
MEXC;ChainOpera AI;COAI;0x0A8D6C86e1bcE73fE4D0bD531e1a567306836EA5;18
MEXC;Fractiq;FRACTIQ;0x0B6c7c1B6484c33f4e5255a69eE833dBe0c396Be;9
KUCOIN;CESS;CESS;0x0c78d4605c2972e5f989de9019de1fb00c5d3462;18
MEXC;CESS Network;CESS;0x0c78d4605c2972e5f989DE9019De1Fb00c5D3462;18
BITGET;CESS;CESS;0x0c78d4605c2972e5f989de9019de1fb00c5d3462;18
GATE;CESS Network;CESS;0x0c78d4605c2972e5f989de9019de1fb00c5d3462;18
MEXC;LayerEdge;EDGEN;0x0C808F0464C423d5Ea4F4454fcc23B6E2Ae75562;18
MEXC;BitDCA;BDCA;0x0c8382719ef242CaE2247E4DeCb2891fBF699818;18
GATE;Triathon;GROW;0x0C9aD20802E89BeA858ae2E8594843fAfA887CB3;18
GATE;Zodium;ZODI;0x0cca2f5561bb0fca88e5b9b48b7fbf000349c357;18
GATE;ZoRobotics;ZORO;0x0d4d3c739e2fdf82c7ce2a9e450e208e5330a237;18
GATE;SCARCITY;SCARCITY;0x0d67d1bec77e562a73a65eef5ed92ac46744671c;18
GATE;Bitcoin ZK;ZYRA;0x0d8c844716bcd981d9b6d3f2ccf5364129086c96;18
BINANCE;Filecoin;FIL;0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153;18
MEXC;Cheems;CHEEMS;0x0DF0587216a4a1bB7d5082fdc491d93d2dD4B413;18
BITGET;CHEEMS;CHEEMS;0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413;18
GATE;Cheems;CHEEMS;0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413;18
KUCOIN;CHEEMS;CHEEMS;0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413;18
BINANCE;1000*cheems.pet;1000CHEEMS;0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413;18
INDODAX;CHEEMS;CHEEMS;0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413;18
KUCOIN;CAKE;CAKE;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;18
BINANCE;PancakeSwap;CAKE;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;18
BITGET;CAKE;CAKE;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;18
MEXC;PancakeSwap;CAKE;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;18
INDODAX;CAKE;CAKE;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;18
GATE;PancakeSwap;CAKE;0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82;18
KUCOIN;ULTI;ULTI;0x0e7779e698052f8fe56c415c3818fcf89de9ac6d;18
BITGET;ULTI;ULTI;0x0e7779e698052f8fe56c415c3818fcf89de9ac6d;18
GATE;Ultiverse;ULTI;0x0E7779e698052f8fe56C415C3818FCf89de9aC6D;18
MEXC;Ultiverse;ULTI;0x0E7779e698052f8fe56C415C3818FCf89de9aC6D;18
MEXC;Fortune Room;NEWFRT;0x0e7f14Cd1a051a1363E856019b62F026a78686A2;18
MEXC;Stability World AI;AIW;0x0eA82A52dA127BB06740b4B2B2863fEfE9C34011;18
BINANCE;Cosmos;ATOM;0x0eb3a705fc54725037cc9e008bdede697f62f335;18
BINANCE;eCash;XEC;0x0ef2e7602add1733bfdb17ac3094d0421b502ca3;18
MEXC;BAS;BAS;0x0F0df6cB17ee5E883eddFEf9153fC6036BDB4e37;18
KUCOIN;BAS;BAS;0x0f0df6cb17ee5e883eddfef9153fc6036bdb4e37;18
GATE;BNB Attestation Service;BAS;0x0f0df6cb17ee5e883eddfef9153fc6036bdb4e37;18
MEXC;HELLO;HELLO;0x0F1cBEd8EFa0E012AdbCCB1638D0aB0147D5Ac00;18
GATE;HELLO;HELLO;0x0F1cBEd8EFa0E012AdbCCB1638D0aB0147D5Ac00;18
GATE;Climate 101;GIGS;0x0f34810810dd05d2bcaef091d54497ad40801ff2;18
BINANCE;Perlin;PERL;0x0f9e4d49f25de22c2202af916b681fbb3790497b;18
