cex;nama_token;ticker;sc;decimals
BINANCE;Smooth Love Potion;SLP;0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25;0
BINANCE;AirSwap;AST;0x27054b13b1b798b345b591a4d22e6562d47ea75a;4
BINANCE;Alien Worlds;TLM;0x888888848b652b3e3a0f34c96e00eec0f3a23f72;4
BINANCE;Mines of Dalarnia;DAR;0x081131434f93063751813c619ecca9c4dc7862a3;6
BINANCE;Dar Open Network;D;0x33b481cbbf3c24f2b3184ee7cb02daad1c4f49a8;6
BINANCE;Axelar;AXL;0x467719ad09025fcc6cf6f8311755809d45a5e5f3;6
BINANCE;Powerledger;POWR;0x595832f8fc6bf59c85c527fec3740a1b7a361269;6
BINANCE;Chromia;CHR;0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2;6
BINANCE;USDC;USDC;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;6
BINANCE;My Neighbor Alice;ALICE;0xac51066d7bec65dc4589368da368b212745d63e8;6
BINANCE;XUSD;XUSD;0xc08e7e23c235073c6807c2efe7021304cb7c2815;6
BINANCE;TRON;TRX;0xf230b790e05390fc8295f4d3f60332c93bed42e2;6
BINANCE;Orion Protocol;ORN;0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a;8
BINANCE;Wrapped Bitcoin;WBTC;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;8
BINANCE;WAX;WAXP;0x2a79324c19ef2b89ea98b23bc669b7e7c9f8a517;8
BINANCE;Movement;MOVE;0x3073f7aaa4db83f95e9fff17424f71d4751a3073;8
BINANCE;DENT;DENT;0x3597bfd533a99c9aa083587b074434e61eb0a258;8
BINANCE;Voyager Token;VGX;0x3c4b6e6e1ea3d4863700d7f76b36b7f3d3f13e3d;8
BINANCE;FunToken;FUN;0x419d0d8bdd9af5e606ae2232ed285aff190e711b;8
BINANCE;Civic;CVC;0x41e5560054824ea6b0732e656e3ad64e20e94e45;8
BINANCE;TrueFi;TRU;0x4c19596f5aaff459fa38b0f7ed92f11ae6543784;8
BINANCE;SingularityNET Token;AGIX;0x5b7533812759b45c2b44c19e320ba2cd2681b542;8
BINANCE;Flux;FLUX;0x720cd16b011b987da3518fbf38c3071d4f0d1495;8
BINANCE;Bitcoin Cash;BCH;0x85c4edc43724e954e5849caaab61a26a9cb65f1b;8
BINANCE;Bitcoin;BTC;0x9be89d2a4cd102d8fecc6bf9da793be995c22541;8
BINANCE;Storj;STORJ;0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac;8
BINANCE;LTO Network;LTO;0xd01409314acb3b245cea9500ece3f6fd4d70ea30;8
BINANCE;Gala;GALA;0xd1d2eb1b1e90b638588728b4130137d262c87cae;8
BINANCE;Green Metaverse Token;GMT;0xe3c408bd53c31c085a1746af401a4042954ff740;8
BINANCE;Alchemy Pay;ACH;0xed04915c23f00a313a544955524eb7dbd823143d;8
BINANCE;iExecRLC;RLC;0x607f4c5bb672230e8672085532f7e901544a7375;9
BINANCE;First Neiro On Ethereum;NEIRO;0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee;9
BINANCE;1M x BABYDOGE;1MBABYDOGE;0xac57de9c1a09fec648e93eb98875b212db0d460b;9
BINANCE;FLOKI;FLOKI;0xcf0c122c6b73ff809c693db761e7baebe62b6a2e;9
BINANCE;Polkadot;DOT;0x7884f51dc1410387371ce61747cb6264e1daee0b;10
BINANCE;Zilliqa;ZIL;0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27;12
BINANCE;TrueUSD;TUSD;0x0000000000085d4780b73119b644ae5ecd22b376;18
BINANCE;Towns Protocol;TOWNS;0x000000fa00b200406de700041cfc6b19bbfb4d13;18
BINANCE;SKALE Network;SKL;0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7;18
BINANCE;UniLend;UFT;0x0202be363b8a4820f3f4de7faf5224ff05943ab1;18
BINANCE;UMA;UMA;0x04fa0d235c4abf4bcf4787af4cf447de572ef828;18
BINANCE;Viction;VIC;0x05d3606d5c81eb9b7b18530995ec9b29da05faba;18
BINANCE;Arena-Z;A2Z;0x08dcb9b5989fb09ef80e85567ec1f49577a70d29;18
BINANCE;Spell Token;SPELL;0x090185f2135308bad17527004364ebcc2d37e5f6;18
BINANCE;API3;API3;0x0b38210ea11411557c13457d4da7dc6ea731b88a;18
BINANCE;yearn.finance;YFI;0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e;18
BINANCE;PlayDapp;PDA;0x0d3cbed3f69ee050668adf3d9ea57241cba33a2b;18
BINANCE;Wrapped NXM;WNXM;0x0d438f3b5175bebc262bf23753c1e53d03432bde;18
BINANCE;Basic Attention Token;BAT;0x0d8775f648430679a709e98d2b0cb6250d2887ef;18
BINANCE;OokiDAO;OOKI;0x0de05f6447ab4d22c8827449ee4ba2d5c288379b;18
BINANCE;Synapse;SYN;0x0f2d719407fdbeff09d87557abb7232601fd9f29;18
BINANCE;Decentraland;MANA;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;18
BINANCE;Dolomite;DOLO;0x0f81001ef0a83ecce5ccebf63eb302c70a39a654;18
BINANCE;Lagrange;LA;0x0fc2a55d5bd13033f1ee0cdd11f60f7efe66f467;18
BINANCE;Pundi X;PUNDIX;0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38;18
BINANCE;1inch;1INCH;0x111111111117dc0aa78b770fa6a738034120c302;18
BINANCE;SafePal;SFP;0x12e2b8033420270db2f3b328e32370cb5b2ca134;18
BINANCE;Radiant Capital;RDNT;0x137ddb47ee24eaa998a535ab00378d6bfa84f893;18
BINANCE;Cyber;CYBER;0x14778860e937f509e651192a90589de711fb88a9;18
BINANCE;PancakeSwap;CAKE;0x152649ea73beab28c5b49b26eb48f7ead6d4c898;18
BINANCE;Worldcoin;WLD;0x163f8c2467924be0ae7b5347228cabf260318753;18
BINANCE;Numeraire;NMR;0x1776e1f26f98b1a5df9cd347953a26dd3cb46671;18
BINANCE;Audius;AUDIO;0x18aaa7115705e8be94bffebde57af9bfc265b998;18
BINANCE;Somnia;SOMI;0x1b0f6590d21dc02b92ad3a7d00f8884dc4f1aed9;18
BINANCE;Portal;PORTAL;0x1bbe973bef3a977fc51cbed703e8ffdefe001fed;18
BINANCE;Keep3rV1;KP3R;0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44;18
BINANCE;StakeStone;STO;0x1d88713b483a8e45cff0e5cd7c2e15e5fab4534d;18
BINANCE;Bancor;BNT;0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c;18
BINANCE;Uniswap;UNI;0x1f9840a85d5af5bf1d1762f925bdaddc4201f984;18
BINANCE;ForTube;FOR;0x1fcdce58959f536621d76f5b7ffb955baa5a672f;18
BINANCE;Resolv;RESOLV;0x259338656198ec7a76c729514d3cb45dfbf768a1;18
