cex;nama_token;ticker;sc;decimals
BINANCE;Polygon Ecosystem Token;POL;0x0000000000000000000000000000000000001010;18
INDODAX;Polygon Ecosystem Token;POL;0x0000000000000000000000000000000000001010;18
MEXC;My Lovely Planet;MLC;0x0566C506477cD2d8dF4e0123512dBc344bD9D111;18
GATE;My Lovely Coin;MLC;0x0566c506477cd2d8df4e0123512dbc344bd9d111;18
GATE;Galaxy Fight Club;GCOIN;0x071AC29d569a47EbfFB9e57517F855Cb577DCc4C;18
GATE;UFORIKA;FORA;0x081c280cD5C1c934DbAfc97A2aB2e596FfE7DFC4;18
GATE;Standard;STND;0x08BE454de533509e8832B257116C5506E55b0b64;18
MEXC;Oshi;OSHI;0x09cAD96Bc28f55e9253cfB9a84a3A1Ab79061E54;18
GATE;Phantom of the Kill;OSHI;0x09cad96bc28f55e9253cfb9a84a3a1ab79061e54;18
GATE;Playermon;PYM;0x0bd49815ea8e2682220bcb41524c0dd10ba71d41;18
GATE;Abyss World Token;AWT;0x0c705862f56cD8eC70337F5f5184feA4158a3c00;18
GATE;LILLIUS;LLT;0x0DdE4811C4DD68Dc740A1D7997F33fF46CD186a9;18
GATE;Teddy Doge V2;TEDDY;0x10f6f2b97F3aB29583D9D38BaBF2994dF7220C21;18
MEXC;Nodewaves;NWS;0x13646e0E2d768D31B75d1A1e375e3E17F18567f2;18
MEXC;Mysterium;MYST;0x1379E8886A944d2D9d440b3d88DF536Aea08d9F3;18
MEXC;Polker;PKR;0x140a4e80dD8184536acc45F1C452D7540472e6E1;18
GATE;ChainPort;PORTX;0x189586b5f6317538ae50c20a976597Da38984A24;18
MEXC;Greever;GVL;0x1A1027b2c787c362ae6E4a6495BfcC8fB3e9aEBd;18
GATE;Aki Network;AKI;0x1A7e49125a6595588c9556f07a4c006461b24545;18
MEXC;WhaleBit;CES;0x1Bdf71EDe1a4777dB1EebE7232BcdA20d6FC1610;18
BINANCE;KyberNetwork;KNC;0x1c954e8fe737f99f68fa1ccda3e51ebdb291948c;18
GATE;BADMAD ROBOTS;METALDR;0x200C234721b5e549c3693CCc93cF191f90dC2aF9;18
MEXC;CRETA;CRETA;0x202655af326dE310491Cb54f120E02eE0da92b55;18
GATE;SNPT;SNPT;0x22737f5Bbb7C5b5BA407b0c1C9a9cdf66CF25D7d;18
MEXC;SNPIT;SNPT;0x22737f5Bbb7C5b5BA407b0c1C9a9cdf66CF25D7d;18
KUCOIN;BLOK;BLOK;0x229b1b6c23ff8953d663c4cbb519717e323a0a84;18
GATE;Bloktopia;BLOK;0x229b1b6c23ff8953d663c4cbb519717e323a0a84;18
MEXC;Bloktopia;BLOK;0x229b1b6C23ff8953D663C4cBB519717e323a0a84;18
KUCOIN;FLAME;FLAME;0x22e3f02f86bc8ea0d73718a2ae8851854e62adc5;18
GATE;Trinity Of The Fabled;ABYS;0x23001ae6cd2f0644c5846e156565998334fc2be3;8
MEXC;KASTA;KASTA;0x235737dbb56e8517391473f7c964db31fa6ef280;18
GATE;Kasta;KASTA;0x235737dbb56e8517391473f7c964db31fa6ef280;18
MEXC;PHILCOIN;PHL;0x24c80D7F032Bc8D308F10d59e20d5a65b90b7334;18
GATE;Lily;LIY;0x24fd25a49627ce2e4be711e76dc22234c83539fe;18
GATE;Sway Protocol;SWAY;0x262B8AA7542004f023B0eB02bc6b96350A02b728;18
GATE;Veloce;VEXT;0x27842334c55c01ddfe81bf687425f906816c5141;18
GATE;Mobius;MOT;0x2db0Db271a10661e7090b6758350E18F6798a49D;18
GATE;Dogami;DOGA;0x2F3E306d9F02ee8e8850F9040404918d0b345207;5
BINANCE;Stargate Finance;STG;0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590;18
MEXC;Nakamoto Games;NAKA;0x311434160d7537be358930def317afb606c0d737;18
